Network,Density,Degree Centrality Std Dev,Assortativity Coefficient,Network Entropy,Threshold,desc_type
chembl_random_500_seed1526,0.14783166332665332,0.15194184960484955,0.16807474156518332,4.525083889583623,0.5,mfp_r2_1024
chembl_random_500_seed1526,0.03837274549098196,0.060515935497045176,0.177690202787699,3.11456964107289,0.6,mfp_r2_1024
chembl_random_500_seed1526,0.004296593186372746,0.011137537374848601,0.24920544110699178,1.312934149651709,0.7,mfp_r2_1024
chembl_random_500_seed1526,7.214428857715431e-05,0.0005622090820071815,0.20353982300884996,0.12846225290675276,0.8,mfp_r2_1024
chembl_random_500_seed1526,0.0,0.0,,0.0,0.9,mfp_r2_1024
chembl_random_500_seed1526,0.18307815631262525,0.14081235107898987,0.2289331424937771,5.1267215185981385,0.5,maccs_keys
chembl_random_500_seed1526,0.04092184368737475,0.045352414916837676,0.2544697853099767,3.871663011539302,0.6,maccs_keys
chembl_random_500_seed1526,0.004264529058116233,0.007090795470474011,0.25565103085492796,1.866177035106572,0.7,maccs_keys
chembl_random_500_seed1526,0.0002565130260521042,0.0008863426372851504,0.44474885844748857,0.3874986621115332,0.8,maccs_keys
chembl_random_500_seed1526,8.016032064128256e-06,0.00012649085240929456,,0.02607783298339765,0.9,maccs_keys
chembl_random_9269_seed175,0.15273360047155296,0.15364912921349744,0.11992285602691262,7.412863875750192,0.5,mfp_r2_1024
chembl_random_9269_seed175,0.036345668543140607,0.05722772052340335,0.16352203523851547,5.665844014696713,0.6,mfp_r2_1024
chembl_random_9269_seed175,0.0033946998159317494,0.009193888488959245,0.23519415463833485,3.1017277987727088,0.7,mfp_r2_1024
chembl_random_9269_seed175,7.622365389003949e-05,0.0003038791822085962,0.4138217425373545,0.8598951714319195,0.8,mfp_r2_1024
chembl_random_9269_seed175,2.886906866941019e-06,2.217115280791385e-05,0.27463688636288086,0.11751204420373745,0.9,mfp_r2_1024
chembl_random_9269_seed175,0.18046282984016826,0.1367133350211115,0.21473726249301017,8.025748089769863,0.5,maccs_keys
chembl_random_9269_seed175,0.040033738628671746,0.04499792878198132,0.2827350587361709,6.716757088230883,0.6,maccs_keys
chembl_random_9269_seed175,0.004191439548193488,0.006770643524327209,0.34233661261906323,4.41153342120293,0.7,maccs_keys
chembl_random_9269_seed175,0.00022357231163898876,0.000495923639465638,0.5401094653098849,1.7861047901653693,0.8,maccs_keys
chembl_random_9269_seed175,9.149632247643713e-06,4.1259405634493055e-05,0.7078371024577366,0.28469999794269946,0.9,maccs_keys
chembl_random_1500_seed8176,0.15179186124082722,0.14903903400066743,0.10522331060306114,5.676671993075648,0.5,mfp_r2_1024
chembl_random_1500_seed8176,0.03295530353569046,0.051645212822333995,0.12940090071033045,4.045426559630387,0.6,mfp_r2_1024
chembl_random_1500_seed8176,0.0031007338225483654,0.008577716714964354,0.31718881565295703,1.8151309593967149,0.7,mfp_r2_1024
chembl_random_1500_seed8176,7.649544140538137e-05,0.0002934670186067563,0.4780761644666969,0.34857688654040986,0.8,mfp_r2_1024
chembl_random_1500_seed8176,2.6684456304202803e-06,4.21073618093649e-05,,0.02607783298339765,0.9,mfp_r2_1024
chembl_random_1500_seed8176,0.17873248832555036,0.1323324473263979,0.2165716534145538,6.195592155475654,0.5,maccs_keys
chembl_random_1500_seed8176,0.038935290193462306,0.04229628462154058,0.28858874736036577,4.890984430751885,0.6,maccs_keys
chembl_random_1500_seed8176,0.00409339559706471,0.006435746896555489,0.36152723906807777,2.7276035986409664,0.7,maccs_keys
chembl_random_1500_seed8176,0.0002134756504336224,0.0005437128498808008,0.3305795263997378,0.6977366944098787,0.8,maccs_keys
chembl_random_1500_seed8176,8.00533689126084e-06,7.263859954004642e-05,,0.06500189380978766,0.9,maccs_keys
chembl_random_500_seed7955,0.1611302605210421,0.15906962786607556,0.08457754552694395,4.587330591073667,0.5,mfp_r2_1024
chembl_random_500_seed7955,0.03269739478957916,0.05081763448025477,0.1352630712890299,3.0774913923042617,0.6,mfp_r2_1024
chembl_random_500_seed7955,0.001907815631262525,0.005180155665113585,0.30615976571476083,1.0678859972258152,0.7,mfp_r2_1024
chembl_random_500_seed7955,1.6032064128256513e-05,0.00021894188831659571,-1.0,0.04049702375990301,0.8,mfp_r2_1024
chembl_random_500_seed7955,0.0,0.0,,0.0,0.9,mfp_r2_1024
chembl_random_500_seed7955,0.19313827655310623,0.1459208859079359,0.20974043488853336,5.105298029536671,0.5,maccs_keys
chembl_random_500_seed7955,0.04245290581162325,0.04671815696725317,0.25455768654432,3.8723387143063634,0.6,maccs_keys
chembl_random_500_seed7955,0.004192384769539078,0.007079436220145757,0.22857062152629812,1.835152356785233,0.7,maccs_keys
chembl_random_500_seed7955,0.00021643286573146294,0.0008222198475645094,0.2857142857142857,0.33902652756643487,0.8,maccs_keys
chembl_random_500_seed7955,1.6032064128256513e-05,0.0001785255106318243,,0.046594424222104566,0.9,maccs_keys
